Date;"Summe der Initialen Nominierungen um 14:00 Uhr Entry (kWh/h)";"Summe der Initialen Nominierungen um 14:00 Uhr Exit (kWh/h)";"Summe der letzten Nominierungen Entry (kWh/h)";"Summe der letzten Nominierungen Exit (kWh/h)";"Allokationen (Konsolidierte Werte verfügbar ab dem 28. des folgenden Monats) (kWh/h)";"Lastfluesse (kWh/h)";"Unterbrechungen (kWh/h)";"davon Unterbrechungen FZK (kWh/h)";"davon Unterbrechungen bFZK (kWh/h)";"davon Unterbrechungen DZK (kWh/h)";"davon Unterbrechungen Unterbrechbar (kWh/h)";"Brennwerte (kWh/h)"
2019-10-01 06:00:00;0;6651460;0;6040454;-6040454;-7072000;0;;;;;11,269
2019-10-01 07:00:00;0;6651460;0;6040454;-6040454;-7136000;0;;;;;11,270
2019-10-01 08:00:00;0;6651460;0;6040454;-6040454;-7120000;0;;;;;11,267
2019-10-01 09:00:00;0;6651460;0;6040454;-6040454;-7088000;0;;;;;11,266
2019-10-01 10:00:00;0;6651460;0;6040454;-6040454;-7056000;0;;;;;11,264
2019-10-01 11:00:00;0;6651460;0;6040454;-6040454;-7072000;0;;;;;11,258
2019-10-01 12:00:00;0;6651460;0;6040454;-6040454;-6912000;0;;;;;11,253
2019-10-01 13:00:00;0;6651460;0;6040454;-6040454;-6080000;0;;;;;11,248
2019-10-01 14:00:00;0;6651460;0;6040454;-6040454;-7120000;0;;;;;11,238
2019-10-01 15:00:00;0;6651460;0;6040454;-6040454;-7456000;0;;;;;11,237
2019-10-01 16:00:00;0;6651460;0;6040454;-6040454;-7440000;0;;;;;11,242
2019-10-01 17:00:00;0;6651460;0;6040454;-6040454;-7424000;0;;;;;11,247
2019-10-01 18:00:00;0;6651460;0;6040454;-6040454;-7392000;0;;;;;11,245
2019-10-01 19:00:00;0;6651460;0;6040454;-6040454;-7520000;0;;;;;11,248
2019-10-01 20:00:00;0;6651460;0;6040454;-6040454;-7504000;0;;;;;11,252
2019-10-01 21:00:00;0;6651460;0;6040454;-6040454;-7552000;0;;;;;11,254
2019-10-01 22:00:00;0;6651460;0;6040454;-6040454;-6672000;0;;;;;11,288
2019-10-01 23:00:00;0;6651460;0;6040454;-6040454;-5024000;0;;;;;11,310
2019-10-02 00:00:00;0;6651460;0;6040454;-6040454;-4800000;0;;;;;11,307
2019-10-02 01:00:00;0;6651460;0;6040454;-6040454;-4816000;0;;;;;11,304
2019-10-02 02:00:00;0;6651460;0;6040454;-6040454;-4816000;0;;;;;11,300
2019-10-02 03:00:00;0;6651460;0;6040454;-6040454;-4816000;0;;;;;11,296
2019-10-02 04:00:00;0;6651460;0;6040454;-6040454;-4800000;0;;;;;11,294
2019-10-02 05:00:00;0;6651458;0;6040458;-6040458;-5040000;0;;;;;11,294
2019-10-02 06:00:00;0;5990211;0;6880703;-6880703;-7024000;0;;;;;11,292
